,sentences
1590,"Arrogance must be broken down, and emotionalism must be suppressed, so reality and truth can get through in the form of real thinking in the Heart."
1591,"If these opportunities are wasted, the likelihood of recovery grows dimmer."
1592,There is no other useful starting point for real solutions.
1593,"Those believers who have gone down the path of giving control of the soul over to the Sinful Nature must take the road to recovery by using the power from the Word of God, not by internal power."
1594,"Therefore the believer is required by God to resist the Sinful Nature and feed the human spirit with the Word of God which is ""alive and powerful"" in order to understand and implement the spiritual life after salvation."
1595,"This is a long and arduous process, and setbacks will abound."
1596,But it is the only long term solution.
1597,"It is a long process, not a quick fix."
1598,"Ephesians 10:6-18 says: ""Finally, be strong in the Lord and in his mighty power."
1599,"11 Put on the full armor of God, so that you can take your stand against the devil’s schemes."
1600,"16 In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one."
1601,"17 Take the helmet of salvation and the sword of the Spirit, which is the word of God."""
1602,"They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.” The Bible is full of short and succinct verses which the believer can cling to during times of trouble, hardship, grief and distress."
1603,"The Sinful Nature resides in every human, as we have noted."
1604,"But beyond just sin, the Sinful Nature is also a distorting influence which negatively affects the ability to think clearly and logically."
1605,It is ultimately the source of all mental distortions.
1606,Therefore the key to avoiding mental distortions is control of the Sinful Nature.
1607,"It is a twisted and demented tyrant, and it must be resisted."
1608,"And that resistance comes from the human spirit filled with the Word of God, the source of spiritual strength for the believer."
1609,We cannot will our way to spiritual advance.
1610,Therefore the best way to resist mental distortions is to study and assimilate the Word of God from the time of salvation onward.
1611,"For those who start late in life trying to gain spiritual power, they are at the disadvantage of having to overcome a Sinful Nature which is already in control of the soul."
1612,But it is the only way.
1613,And it is possible because God provides a way of escape.
1614,This is why the Bible says discipline is required to teach children proper behavior early on.
1615,"The antidote to the Sinful Nature is a soul filled with Biblical wisdom, which in turn provides appreciation for God, and eventually love for Him."
1616,"Arrogance is the enemy of the soul, as it opens the way for the Sinful Nature to use the Emotion to attack the Heart and Mind."
1617,"Of course, all humans fail and there are none who do things perfectly."
1618,God knows that we are weak.
1619,He knows we will fail.
1620,God forgives us.
1621,"That is correct, because the Sinful Nature does not care about such things."
1622,"To it, destruction is equally effective as convincing."
1623,The Sinful Nature is not a logical advisor to the soul.
1624,It is an illogical tyrant.
1625,"It must be resisted and pushed back into a tiny hole with a lock on it, with a sign which says ""Do Not Feed The Sinful Nature."""
1626,"Remember, it is the enemy within."
1627,"Therefore these divine laws are meant for the entire human race, unbelievers as well as believers."
1628,But it is more difficult for unbelievers to deal with mental dysfunctions since they have no human spirit.
1629,"Salvation activates the human spirit for the unbeliever, then spiritual growth develops the human spirit, which provides the ultimate in human ""mental development,"" which is in reality soul (and human spirit) spiritual development."
1630,"Therefore unbelievers must first change their mind about God and accept Jesus Christ as Savior, at which point they will gain a human spirit."
1631,From there they can rebuild soul stability.
1632,"So it was left to God to provide a way of escape for sinful humans, and that escape starts with salvation by faith in Jesus Christ."
1633,"That is eternal salvation, but it is not total deliverance from the ongoing effects of our own Sinful Nature which continues to reside in us while we are alive."
1634,Our Sinful Nature is the source of all disruption and distortion in the soul.
1635,"We cannot expunge it, but we can fight it."
1636,And fight we must.
1637,"And that is the second part, which as we 133 have discussed, is fighting the Sinful Nature by God's Word inside of our human spirit."
1638,"Then the human spirit influences the Mind and Heart to restore logical order in the soul, giving the soul stability."
1639,At the birth of any baby it is a blank slate in the soul.
1640,"The five senses get to work quickly and start to develop pattern recognition, and the soul begins to put in place the basis of thinking."
1641,"An empty soul cannot think, therefore the baby starts as a pure empiricist, meaning their learning is sensory based."
1642,Then beliefs will be formed.
1643,"In a similar way, the second birth is regeneration of the human spirit, which is much like being a baby all over again."
1644,A spiritual baby.
1645,"Jesus said we must be ""born again"" to have eternal life."
1646,"The newly ""reborn"" believer has a new empty vessel to begin to fill up, so it can form new spiritual thoughts and beliefs."
1647,"That is exactly what must happen for the believer after salvation, namely to fill up the human spirit with spiritual information."
1648,Otherwise the human spirit is as non-functional as the soul of a newborn baby.
1649,"That is the equivalent of living the spiritual life in the goo-goo-da-da stage, which does not glorify God or the Lord Jesus Christ."
1650,And it also does not resist mental dysfunctions.
1651,After salvation God generally leaves believers on earth to develop the human spirit which is empty at the second birth.
1652,"The power to live a spiritual life is not out of the soul, but rather out of the human spirit."
1653,"The soul can never accomplish what the Bible requires of believers because it is not a spiritual entity, even though it is an immaterial entity."
1654,"We are here for a spiritual purpose, not a soulish purpose."
1655,"134 However, most believers fail to fulfill their spiritual requirements."
1656,They leave their human spirit in a status of being a newborn.
1657,"2 I gave you milk, not solid food, for you were not yet ready for it."
1658,"Indeed, you are still not ready."
1659,"3 You are still worldly."""
1660,"Without that constant intake of spiritual food, the human spirit is empty or close to it, so the Holy Spirit has little to use to empower the spiritual life of the believer."
1661,Those who exercise their human spirit and feed it spiritual truth will grow in spiritual strength and provide the Holy Spirit with what He requires to empower the believer to have impact for the Lord.
1662,"With the consistent intake of spiritual food, the human spirit stores up information the Holy Spirit can use to empower an effective spiritual life of the believer."
1663,"We are in the midst of spiritual warfare with the forces of darkness, and we must be armed to fight the spiritual battles."
1664,"The desire to please God by knowing and applying His Word through the human spirit, the only spiritual part of the human, is what our spiritual life is all about."
1665,"135 The human spirit filled with the Word of God is able to generally control the lusts of the Sinful Nature, and directs the soul to fulfill the will of God for us."
1666,"That is the spiritual life -- living out of the human spirit, which directs the soul to properly interface with the outside world and with God on the basis of the Word of God."
1667,"At this point ""the peace of God, which passes all understanding, will guard your hearts and your minds in Christ Jesus."""
1668,And a quiet soul in not possible when the Sinful Nature is in control of the soul.
1669,Now we are discussing changing beliefs.
1670,"The actions of the believer follow the directions of the human spirit through the soul, and all based on God's Word."
1671,"We are strengthened by the Word of God in our human spirit, which in turn changes our beliefs and drives our decisions and actions as the human spirit directs the soul."
1672,"Power for our lives is through the Word of God, and the Holy Spirit is instrumental in helping us learn the Word of God if we study it."
1673,"The power is in the Word, the Word which has been put into our human spirit by the mentoring of the Holy Spirit, and only then do we live a spiritual life with impact."
1674,"As that spiritual structure in the human spirit is built up, the faith and spiritual dynamics of the believer increases."
1675,136 The only spiritual part of a human is the human spirit.
1676,"When did anyone shut down their soul and refuse to take in any more sensory information, or learning?"
1677,"The human spirit must continuously ""grow in grace and in the knowledge of the Lord and Savior Jesus Christ."""
1678,Mental maladies are the result.
1679,"The growth of the human spirit must be the lifelong mission of the believer, because we are required to grow up spiritually after our rebirth."
1680,"1 Peter 2:2 says ""Like newborn babies, crave pure spiritual milk, so that by it you may grow up in your salvation."""
1681,Therefore the only way to counter and overcome the Sinful Nature-Emotion lock on the soul is through a very intensive study and application of the Word of God.
1682,"But this is very difficult due to the deeply rooted reactions which will come from the Emotion, and the resistance from the Sinful Nature which has taken over control of the soul."
1683,"Once it has gained control, it is difficult to depose."
1684,But this is the only rehabilitation process.
1685,It is hard and takes a very long time.
1686,"Results will be spotty at first, and setbacks will abound."
1687,But it is the only road back.
1688,And with God and His Word it is possible.
1689,"But what happens to the real person, the inner human, during this process?"
1690,"These issues result from diseases, syndromes, and also trauma, so all are not equal."
1691,These dysfunctions affect the brain side of the equation but not the soul side.
1692,"The answer is that the soul is not designed to function isolated from a body, either during the natural lifetime or during eternity."
1693,"The soul can only operate correctly from inside a support structure which is working as required, meaning a physical body while living on earth, or in an eternal body later."
1694,"Which means that without support from the brain, or a new body during eternity, the soul cannot express itself."
1695,"And when the brain is 138 diminished, the overall process of brain to soul and back to brain information flow is diminished."
1696,Therefore the person who has diminished mental functions has reduced ability to develop new thoughts internal to the soul.
1697,"The level to which this occurs depends on the degree of impairment, so it is not all or nothing."
1698,"The point here is that although the brain is diminished, the soul status will remain generally static until death, when the soul departs and is placed into a new body, first into a temporary one until their resurrection occurs, and later into a final body at the resurrection."
1699,"For Church Age believers, the final resurrection is called the Rapture of the Church."
1700,"Therefore, after death the believer's soul and human spirit are taken to Heaven where they are placed into a temporary body, and soul functions and memories become available again at that moment."
1701,"However, the memories stop at the point new information could no longer effectively be taken into the soul while still alive."
1702,"For unbelievers, there is also a new body after death, and it is designed for their eternal state, which is much different."
1703,"They will also have memories, but will only serve to feed their regrets of failure to do the one thing required of them to be saved."
1704,"It should therefore be comforting to know that this condition is only temporary, that the soul of the person remains unchanged, and after death will be the same person with soul memories intact."
1705,Then all involved can pick up where they left off.
1706,"In a similar way, those who are born with issues which restrict mental development may not be able to fully develop the soul due to limitations in brain capabilities."
1707,"In other instances the soul can become more fully developed, but the brain cannot export the results to the outside world due to limitations on the outbound part of the brain."
1708,"The person is forced to live a more sensory life, and more out of the brain with less soul involvement, which means less soul control over their actions."
1709,"There are many variations, so this is just to explain that brain to soul, and soul back to brain interface issues can cause soul isolation or inability to perform in some areas."
1710,Then we will also look at outside evil influences on thoughts and beliefs.
1711,"The word ""evil"" is commonly used to describe a depraved person who engages in vile actions, such as a cruel and oppressive dictator, a mass murderer, a satanic cult leader, or some similarly very disagreeable person who engages in wanton and heinous misdeeds."
1712,"While all of this may be true, that view of evil is too narrow to align with God's view."
1713,"The Bible defines evil as being much more complex, inclusive and pervasive than common usage would suggest."
1714,Evil at its core is about opposition to God and His plan.
1715,"It helps to understand the subject of evil by describing those creatures, both angelic and human, the Bible calls evil."
1716,"Evil is mentioned very early in the Bible in Genesis when Adam and the woman were in the Garden of Eden, but evil began way before that, long before there were humans."
1717,"As one might suspect, it began with Satan, an outside influencer on thoughts and beliefs."
1718,"Therefore, when a created creature acts in opposition to God, that act is evil, and when one thinks and acts consistently in opposition to God, that 141 person or creature is actually evil."
1719,"The fall of Satan at his original sin was an act of evil, and in fact it was the very first evil which ever occurred."
1720,"Rejection of salvation is a form of evil since it is calling God a liar, which is opposition to God."
1721,"And by rejecting salvation unbelievers are saying that the Bible is a lie, and that Jesus Christ is not the Savior."
1722,We can see that evil is indeed far more inclusive and pervasive than most would think.
1723,Adam and Eve chose evil when they sinned in the Garden of Eden.
1724,"She was deceived and wrong, but then Adam joined her, fully understanding what he was doing."
1725,"Creatures invented evil by rejecting God, first Satan, and then Adam and Eve created it for humans."
1726,We see that the original sin by Satan was the first act of evil since it was a revolt against God.
1727,"So also the first sin by humans led the previously righteous man and woman to commit an act of evil, which was also rebellion against God."
1728,"The man and woman had not known sin or evil before they revolted against God, but they learned about both at the same time."
1729,"When the Bible says they now knew evil it means they had gained a Sinful Nature as an attachment to the soul, which started the process of feeding evil thoughts into their souls."
1730,"And they chose for all humans, who would inherit the Sinful Nature and all its negative effects on thoughts and beliefs."
1731,"This gaining of a Sinful Nature by the original humans was a loss of status which also took them into a condition of being evil, having taken the side of Satan even though it was by deceit."
1732,At this point their thoughts and beliefs included evil.
1733,"The word ""sin"" here refers more generally to Sinful Nature influences on the soul, not a single sin by itself."
1734,"The first humans had fallen from perfection into a status of being unacceptable to God, therefore unsaved."
1735,"But God provided a way of salvation, and the two believed in the promised Messiah and were saved."
1736,But they did not lose their knowledge of evil since it was now part of their souls due to the Sinful Nature they acquired at the point of their fall.
1737,"For the descendants of Adam and Eve, the Sinful Nature became attached to the soul at birth."
1738,"After salvation the believer still has a Sinful Nature but can partially overcome it, with various degrees of success."
1739,"Some people, eager for money, have wandered from the faith and pierced themselves with many griefs."""
1740,"The lust for money can lead to doing evil to gain it, often in a way which does significant harm to others."
1741,"Evil actions are usually a pattern involving lust and scheming, not normally an isolated sin."
1742,"People who live by their lusts are called evil, since evil thinking becomes a pattern of evil action which harms others."
1743,"We see that evil always begins with evil thoughts, which lead to evil beliefs, which can lead to evil actions."
1744,"There are also evil institutions, not just creatures."
1745,Nations can be evil.
1746,"Some of them oppose God by suppressing the gospel of salvation and Bible teaching, and others use their power to consistently harm the innocent as a pattern of action."
1747,"There are many evil nations, and for different reasons."
1748,"Others sponsor or support terrorism, which is intended to deny freedom and impose an alternate system of acting and thinking."
1749,"Some impose evil institutions by force, such as false religions, or socialism which takes by force what belongs to some and gives it to others."
1750,"Laws can be evil, especially those which attempt to suppress freedom to worship and evangelize."
1751,"This should not be surprising since Satan rules this world, and he and his Cosmic System are both pure evil."
1752,"Satan is the author of chaos, and the history of mankind is one of mostly evil nations with very occasional exceptions."
1753,"Evil is not always glaring, but is often subtle."
1754,"God promotes free will and the right to choose, but evil opposes both."
1755,"While there is more to discuss on this sad fact, what has been described so far should begin to bring some clarity to the issue."
1756,This book is about thoughts and beliefs.
1757,"The downfall of human thoughts and beliefs started with Satan, whose own thoughts and beliefs strayed from serving God to serving self."
1758,"Then as a result of his thoughts and beliefs, Satan acted on them and revolted against God."
1759,And they did.
1760,Thoughts and beliefs are powerful things.
1761,They can drive good or evil.
1762,Some of them are used simply to get by.
1763,"Others are used as defense mechanisms to build up one's own self-esteem, often at the expense of others."
1764,Some coping mechanisms are used to avoid thinking about much of anything.
1765,"Regardless of the reason, these false coping devices are aimed at avoiding reality and truth."
1766,"To this end, humans have invented false devices and strategies to avoid reality and also elevate themselves in their own view."
1767,But they are all attempts to overcome internal friction and pressure in the soul.
1768,"Distraction is one such mental coping device, which attempts to avoid issues by trying not to think about them."
1769,"Of course, enjoying some amount of distraction is useful and relaxing, but we are discussing endless distraction, which becomes Distractionism."
1770,"In all of this, Distractionism is about avoiding reality, and wasting the time we have remaining."
1771,That is the ultimate reality which must not be avoided.
1772,"And by the way, there will be no distractions for unbelievers during eternity."
1773,Reality will be unavoidable.
1774,"Ultimately, denial is lying to oneself, and seeks to avoid reality and truth by saying something is not real or true."
1775,Therefore the person in denial does not want to know the truth and seeks to avoid it by suppression of thinking.
1776,"When bad things happen, they deny it is real."
1777,"This results in the person denying that God exists, and/or denying that Jesus Christ is the only Savior."
1778,They suppress thinking about death and God as a means of coping.
1779,"But using denial as a coping device to avoid the reality and truth about death, about God, and about His salvation offer to humans will lead to a miserable life after death."
1780,Once again we see how reality is not avoidable during eternity.
1781,"There are other false mental coping devices and variations of those discussed above, but again, it is not our purpose to cover them in detail, but rather to set up the discussion of what the Bible says about the inner human as related to false mental coping devices which are used to try to avoid reality and truth."
1782,Good question.
1783,The answer starts with what we have already discussed about the inner workings of the soul.
1784,"All humans are sinful, saved or unsaved."
1785,"God does not seek to punish us every time we go astray, but wants us to turn to Him."
1786,God is a loving and merciful God.
1787,"His Son took the punishment we deserved, therefore God can and does forgive His believers."
1788,"We must not labor under a sense of guilt for our past sins, because they have been paid for and taken away."
1789,"But we must seek to please God now and in the future, even though no one can do so perfectly."
1790,"And controlling the Sinful Nature is important to having a healthy soul, which is the point here, because the Sinful Nature is the source of soul distortions."
1791,"When a person alters the way their soul is supposed to operate, the soul becomes distorted and various levels of instability set in."
1792,The soul ceases to function in a logical and stable manner because some portions of the soul exert undue influence.
1793,"In fact, a revolt inside the soul occurs."
1794,And the primary offender as we have discussed is the Emotion in consort with the Sinful Nature.
1795,"And this is where false coping devices come into play, as they are used to distort the soul's normal thought processes."
1796,Therefore the ultimate culprit is the Sinful Nature which causes soul distortions and most mental illnesses.
1797,The soul becomes divided against itself.
1798,"This is where the saying ""he is of two minds"" applies."
1799,"It is usually a long slow slide into this level of soul distortion, and likewise it is a long process to get out."
1800,Rejection of truth is not usually a matter of intelligence (IQ).
1801,"The propensity for rejecting truth and therefore accepting untruths is primarily a matter of how the person's soul is functioning, not a matter of education or intellect."
1802,"And humility, which is the opposite of arrogance, plays a key role in truth acceptance."
1803,Truth can also be rejected for other reasons.
1804,"Some people simply do not care about spiritual issues, so they ignore them."
1805,Ignoring is rejecting.
1806,"People focus on their job, family and other things and do not stop to think about their eternal future, or they think there is no eternal future to think about."
1807,"Some have a simple form of relative righteousness, and think they are better than many other people they see around them so if there is a God He would favor them over those they see as morally inferior."
1808,Of course that is not true.
1809,"It is why so many conversations in life attempt to compare oneself with others, putting down others to build oneself up in their own eyes, and in the eyes of others."
1810,"In another vein, it is also why wealth is said to make salvation more difficult, since wealthy people think they have all they need without God so they may ignore spiritual issues."
1811,"These rejections of truth are more a matter of lack of interest or caring, but the end result is the same."
1812,The human spirit plays an important role in accepting Biblical truth.
1813,"For humans to interact with God they need a 149 human spirit, otherwise God cannot interact with them, and they cannot understand God or His spiritual truth."
1814,Truth is built on truth.
1815,"God is the author of logic and truth, and has given these as gifts to mankind."
1816,"Rejection of truth in one's belief system is therefore rejection of God and His plan, and the only alternative is a belief system based on fallacies, falsehoods, and lies."
1817,"Therefore the Bible has definitions of normality embedded in it, and they fit with everything He has designed."
1818,"Since God is the Designer, He gets to decide what is reality, and therefore what is ""normal"" and ""abnormal."""
1819,That means humans cannot change them no matter how hard they may try.
1820,"Since God has defined normality and abnormality, He also put ""reality stops"" in place on normality, past which abnormality is unleashed."
1821,"Humans periodically try to change the rules God has put in place, resulting in confusion, chaotic beliefs and mental dysfunction."
1822,"For instance, God made male and female humans."
1823,A male is a reality.
1824,A female is a reality.
1825,"When certain humans decide there is no such thing as male and female, they attempt to create new rules or standards for a new status, or maybe no rules at all."
1826,"There is no allowance for citing ""unfairness"" because once the reality stops which God put in place are bypassed and removed, there is no way to sort out what is right or wrong, fair or unfair, on the other side of reality."
1827,"So this is the first issue with reality stops, that there is no logic on the issue once reality is bypassed."
1828,Such people will try desperately to gain the approval of others for their belief system and resulting behavior.
1829,"They demand changes in law to force other humans to not only accept their beliefs and actions, but go far beyond that to demanding acceptance of their status as being ""normal."""
1830,"To reiterate a previously discussed issue, God is logical."
1831,He invented logic.
1832,"Logic aligns with who He is, what He is, and what He has designed and created."
1833,"The universe He created was completely logical and orderly in its original perfect form, although created beings, both angels and humans, distorted it with rebellion and sin."
1834,"The issue here is that when humans try to pass the reality stops which God has put in place, the result is illogical and cannot be made logical or reasonable."
1835,"As an aside, beyond the reality stops there is also no possibility of any true happiness."
1836,Humans who live beyond the reality stops God has put in place cannot find it.
1837,There are many other examples of humans trying to bypass the reality stops of normality of beliefs.
1838,These always result in internal friction and dysfunction.
1839,"Beliefs only make sense, and are only logical, when the boundaries of normality are left in place and respected as reality stops on beliefs and resulting behaviors."
1840,Humans have tried over the entirety of history to change the reality stops put in place by God.
1841,"Humans cannot repeat the original fall into sinfulness, because we already gained the Sinful Nature through the original humans."
1842,"The Mind and Heart cannot reconcile these discontinuities inside the soul, so internal chaos reigns."
1843,"But remember, truth is an extreme position."
1844,"So this middle ground approach is often a form of expressing a half-baked belief system, or no belief system at all."
1845,"The person may actually have beliefs, but maybe not."
1846,"There is a time and place to hold your tongue and express no beliefs, but on the other hand to never express beliefs is a form of cowardice."
1847,"And to actually have no specific and firm beliefs is a real problem, especially for believers."
1848,We are required to have firm beliefs in truth as revealed in the Bible.
1849,"Fluid beliefs are not actually beliefs, but rather are random musings aimed at just getting along."
1850,Such fluid beliefs are a failure to have anchoring principles on important issues.
1851,"As stated, God requires us to hold firm beliefs based in truth."
1852,We are saved by a belief in Jesus Christ.
1853,We must live by firm beliefs in what the Scriptures reveal.
1854,"To deny the fundamental beliefs revealed in the Bible is a spiritual failure, at least at that moment in time."
1855,"Recovery is possible and important, but the more we deny the truth the less we will believe it."
1856,Spiritual failure and loss of firm beliefs go hand in hand.
1857,Beliefs on fundamental issues matter.
1858,"There is truth, and there is non-truth."
1859,This belief system is one which takes the middle road to nowhere.
1860,"Atheists are at least honest that they reject something completely, and refuse to believe it."
1861,"The Agnostic belief system is therefore a lack of firm beliefs in things which are important, where the big issues are ignored because they are just too hard to deal with."
1862,Even Satan believes in God.
1863,"He is still going into eternal condemnation, but he certainly believes in God without any question."
1864,But believing in God will not save anyone.
1865,"It is believing in Jesus Christ as Savior which saves each person, and the lack of such belief condemns all who hold to it throughout their life on earth."
1866,"But being an Agnostic is living without beliefs, which means living without form or substance."
1867,It cannot allow truth to exist unopposed.
1868,"It cannot allow it to be expressed, or even believed."
1869,"Cosmic System beliefs are unsupportable, illogical, foolish, and do not work in the real world."
1870,They have no logic or basis in reality.
1871,Opposition by truth cannot be allowed.
1872,Truth is everything they are not.
1873,It is right and good and moral and virtuous and logical.
1874,The Cosmic System is none of those.
1875,Their first defense is to attack the person instead of the truth itself.
1876,The person must be socially destroyed.
1877,The person must be shunned.
1878,The person must be ridiculed.
1879,The person must be removed because the truth cannot be.
1880,The point here is that important belief systems based on the truth require defending.
1881,They will be attacked.
1882,There will be ridicule and social pressure.
1883,"But we see the results regularly, with severe impact on the lives of innocent people and families."
1884,"When the Sinful Nature and Emotion are allied, the result will be dysfunctional thinking on a scale from slight to hardened."
1885,"Lusts vary from person to person, so not all criminals are alike."
1886,"And we not discussing here those who have made mistakes, or committed a few petty crimes."
1887,"It is just another drug, but with perceived personal rewards."
1888,"Those who are in their way, or rivals, or can provide something they do not have, are just weak and need to make room for the ""more evolved,"" namely the Darwinian criminals."
1889,"But it is not truly mental ""illness"" since it has resulted from repeated bad decisions, not brain damage, usually over a long period of time."
1890,"But such mental dysfunction, as we would define it, is not a legitimate defense for criminal actions."
1891,"Arrogance, the chief output of the Sinful Nature, is taken to the extreme and self-image becomes highly distorted."
1892,At this point thoughts are instinctive and actions are animalistic.
1893,"Recall that God did not create humans with instincts, or as animals."
1894,"But humans can change themselves into both given enough distorted thinking over time, because it unleashes extreme arrogance from the Sinful Nature."
1895,"There are many reasons, and some criminals may start with getting a raw deal in life, as they see it."
1896,Every criminal made themselves into one.
1897,"And when power is added to the equation, the slide into criminal thinking and behavior is hastened."
1898,"These people are also hardened criminals, and use the power of their office to take away the rights and freedoms of individuals."
1899,"Herod died miserably within a short time and was succeeded by his son, who was also named Herod."
1900,Both had a very good chance to understand salvation.
1901,Both refused it.
1902,Let is look at these issues now.
1903,"We will be true humans, with our same soul and human spirit, but transformed into spiritual beings, whereby our human spirit will drive our soul as the dominant part of our eternal inner human."
1904,"Therefore both soul and human spirit will remain, but the human spirit will have priority because we can only interact with God as spirit."
1905,"Therefore our human spirit and soul will be in full harmony during eternity, so there will be no more inner power struggles or disagreements."
1906,"We will also have a much more powerful eternal body, with a very high IQ."
1907,"They never had a human spirit, and will not have one during eternity."
1908,They will retain their Sinful Nature and will be tormented by it.
1909,"They will be separated from God, and will be very unhappy."
1910,They will have a lowly body which feels pain.
1911,"It was their choice to make, and they chose wrong."
1912,This should motivate us to do something about that while there is time.
1913,"The answer is we will do things a lot like people did on earth while alive, except the focus will turn to serving and worshiping Jesus Christ."
1914,But believers will not turn into angels.
1915,We will not play harps while sitting on clouds.
1916,We will not all be equal.
1917,"More specifically, the existing Heaven will be combined into a ""new heavens and new earth"" and the existing universe will be destroyed."
1918,"There will be a New Jerusalem as the throne- 158 room of the Trinity, which will be a very large cube shaped structure with pearl gates and streets and walls like gold and diamonds."
1919,The original Tree of Life will be inside the New Jerusalem.
1920,Those who were spiritual winners will have higher level leadership roles supporting the leadership of the Lord.
1921,There will be assigned tasks and work in this societal structure.
1922,"It will also be a very social eternal society, with plenty of personal interaction, since structure and social interaction is important for the happiness of humans even in eternity."
1923,We will eat and drink.
1924,The new earth will be a paradise.
1925,"There will be no darkness, as the light of God will be everywhere at all times."
1926,All will have a resurrection body like Jesus Christ gained at His resurrection.
1927,But there will be differences in levels of happiness based on how well we fulfilled our spiritual life while believers on earth.
1928,And it will be mainly based on what we thought and believed while we were alive.
1929,"Now back to the reality of life on earth, and the current state of thoughts, thinking, and beliefs."
1930,Polarizations based on beliefs abound.
1931,"Belief systems are generally very shallow, mixed with those which are based on total unreality."
1932,"People are looking for ""meaning"" but look everywhere but to God, so they find none and become more frustrated."
1933,"As a result, many go even deeper into single-issue fanatical views in search of meaning in their life."
1934,And so the cycle continues downward.
1935,This is apparent everywhere we turn.
1936,"Each one believes the other is outrageously wrong, leading to polarization."
1937,"The difference now as opposed to the past is the degree to which social media can provide support for unreality of beliefs, and expand its impact exponentially."
1938,"Once again, look at the beliefs which currently consume people."
1939,"People pursue politics for the purpose of power, not for 160 service."
1940,"Money is used for the purpose of creating the illusion of importance in society, and a false sense of meaning in life."
1941,"Lust consumes people, which is the true opioid of the masses."
1942,"Justice systems support the criminal, as lawful people are called criminals, so the innocent are deemed guilty while criminals are praised."
1943,"Meanwhile, belief systems based on Bible truth have dwindled and are being persecuted."
1944,"Christian beliefs are now being called intolerant and even criminal, and portions of the Bible are called hate literature."
1945,"All of this madness is based on belief systems focused on the Sinful Nature and self-promotion, supported by the evil Cosmic System."
1946,The world is turned upside down by distorted beliefs.
1947,"When the majority of individuals in a nation think in such distorted patterns, that nation is headed for disaster."
1948,"The majority have their Emotion aligned with the Sinful Nature to a significant degree, so they think in distorted patterns, if you call that thinking."
1949,"When a maximum number of people in a society have gone this way, the effect on that society will be intensified."
1950,"Add the technology to expand the effects, and a critical mass of false belief systems will take over."
1951,"And when the whole world has gone that way, the results are what we see today."
1952,"Chaos of thoughts, thinking, and beliefs."
1953,"People are living on their Emotion, which cannot think, in alliance with the Sinful Nature, the instrument of lust and sin for humans."
1954,"The Mind and Heart are set aside as the leadership of the soul, leading to living by feelings and lust."
1955,"This eventually becomes a set pattern which the person may be unable to break, even if they desire to do so."
1956,"The more this condition persists, the more the duo of Emotion and Sinful Nature take control, and the harder it is to think logically."
1957,"When this condition dominates the nation and the world, attacks on truth, reason and logic start coming from all directions."
1958,"They blame those who seem happy and have firm beliefs, therefore Christianity becomes their main target."
1959,"It is blamed for interfering with their own empty search for happiness, and requiring them to think about their eventual death and the eternity beyond it."
1960,"But any life apart from God is an empty one, because God's plan for humans has no useful alternative."
1961,Both are lust-based systems.
1962,"Some others just drop out, preferring not to think about much at all, trying to avoid belief systems."
1963,"This approach has become a primary method of avoiding thoughts and beliefs, because technology has enabled such a state of being."
1964,Others use drugs or alcohol.
1965,"Many join a cause, trying to find meaning through a belief system based on saving something or helping with something."
1966,"Some become social climbers, and others focus on making money to the exclusion of all else in life."
1967,"Others become fanatics, highly focused on a singular belief issue."
1968,"People go in all types of directions seeking meaning in life, or trying to avoid life, which means avoiding their own thoughts by various forms of distraction."
1969,"But once people reject the truth, or simply avoid the truth, they have rejected the only real meaning and purpose in life."
1970,"Any belief system which denies, rejects or avoids the truth is doomed to unhappiness and failure."
1971,That is the status of the world today.
1972,Anarchy knocks at the door.
1973,"Throughout history there have always been pockets of people where truth has been held in high esteem, even though most of the world did not do so."
1974,"Pockets of truth have held the world together, but have dwindled and are fading fast."
1975,"The world has embraced false beliefs, distractionism, and evil."
1976,The results are obvious.
1977,"There is chaos of thoughts and beliefs, which has led to chaos of actions."
1978,"The world has rejected truth, because truth scares them to death."
1979,"But there is a solution.... 162 CHAPTER 23 RIGHT BELIEFS, RIGHT THOUGHTS At the beginning of this book we postulated that the Bible is the ultimate self-help book."
1980,"When it comes to real solutions involving the inner human, it is the only useful self-help book, because it is truth."
1981,"John 8:31 says “If you hold to my teaching, you are really my disciples."
1982,No human has a perfect belief system from top to bottom.
1983,"But there are divine standards designed to guide us through our life, and especially our spiritual life."
1984,This book has pointed out many false assumptions about how humans think and form beliefs.
1985,"We now see that all of it occurs in the soul, not in the brain."
1986,"We discussed how the brain is a gateway between the soul and the outside world, enabling the soul to interface with the universe."
1987,"Let us also recall what we discussed about the issue of truth in beliefs, that all people think their own beliefs are ""true,"" or at least ""working"" for them."
1988,"By definition, people only believe what they think is true or close enough by their standards."
1989,And our core beliefs center on those things we believe are both true and most important in our lives.
1990,"So we asked ourselves whether truth is what each person thinks it is, or is there one true belief system?"
1991,"And if the latter, who gets to decide what is right or wrong, true or false, acceptable or unacceptable?"
1992,"There can be no other answer except ""God gets to decide."""
1993,"The only other choice is ""No one"" and humans cannot live with that answer."
1994,But they try.
1995,And they fail.
1996,And it works.
1997,"No other belief system reveals anything close to that, or has its power."
1998,Not if it is truth.
1999,"But others believe their opposing belief systems 163 are true, or something like it."
2000,We believe they are wrong about that.
2001,"Only because we want them to have eternal salvation, but we defend their right to choose."
2002,So we do not apologize for believing that the Bible is the truth.
